REVIEWS, RANKS
Absolute rubbish!,1.0
Absolute rubbish!,1.0
Terrible product,1.0
Terrific,5.0
Expected a better product,2.0
Hated it!,1.0
Waste of money!,1.0
Best in the market!,5.0
Good choice,4.0
Nice product,4.0
Horrible,1.0
Worst experience ever!,1.0
Super!,5.0
Horrible,1.0
Very poor,1.0
Moderate,2.0
Waste of money!,1.0
Don't waste your money,1.0
Absolute rubbish!,1.0
Worst experience ever!,1.0
Horrible,1.0
Very poor,1.0
Wonderful,4.0
Wonderful,5.0
Just wow!,5.0
Super!,5.0
Does the job,3.0
Perfect product!,5.0
Not recommended at all,1.0
Very poor,1.0
Horrible,1.0
Best in the market!,5.0
Great product,5.0
Don't waste your money,1.0
Nice product,4.0
Best in the market!,5.0
Mind-blowing purchase,5.0
Wonderful,4.0
Could be way better,2.0
Brilliant,5.0
Terrible product,1.0
Useless product,1.0
Absolute rubbish!,1.0
Absolute rubbish!,1.0
Excellent,5.0
Hated it!,1.0
Worth the money,4.0
Wonderful,4.0
Just okay,3.0
Did not meet expectations,1.0
Worth every penny,5.0
Don't waste your money,1.0
Don't waste your money,1.0
Horrible,1.0
Absolute rubbish!,1.0
Very poor,1.0
Great product,5.0
Decent product,3.0
Could be way better,2.0
Terrific purchase,5.0
Absolute rubbish!,1.0
Did not meet expectations,1.0
Worth the money,4.0
Hated it!,1.0
Unsatisfactory,1.0
Nice product,4.0
Great product,5.0
Good,3.0
Horrible,1.0
Bad quality,2.0
Unsatisfactory,1.0
Terrible product,1.0
Good choice,4.0
Utterly Disappointed,1.0
Pretty good,4.0
Wonderful,5.0
Terrific purchase,5.0
Hated it!,1.0
Worth every penny,5.0
Worth every penny,5.0
Worth the money,4.0
Fabulous!,5.0
Good quality product,4.0
Worth every penny,5.0
Fabulous!,5.0
Absolute rubbish!,1.0
Super!,5.0
Moderate,2.0
Simply awesome,5.0
Very poor,1.0
Highly recommended,5.0
Worthless,1.0
Just wow!,5.0
Pretty good,4.0
Great product,5.0
Just wow!,5.0
Very poor,1.0
Mind-blowing purchase,5.0
Hated it!,1.0
Highly recommended,5.0
Super!,5.0
Useless product,1.0
Terrific purchase,5.0
Brilliant,5.0
Just okay,3.0
Awesome,5.0
Classy product,5.0
Hated it!,1.0
Useless product,1.0
Don't waste your money,1.0
Great product,5.0
Value-for-money,4.0
Unsatisfactory,1.0
Perfect product!,5.0
Nice product,4.0
Useless product,1.0
Terrible product,1.0
Fabulous!,5.0
Bad quality,2.0
Useless product,1.0
Absolute rubbish!,1.0
Horrible,1.0
Simply awesome,5.0
Good quality product,4.0
Fabulous!,5.0
Classy product,5.0
Worthless,1.0
Worth the money,4.0
Waste of money!,1.0
Very poor,1.0
Simply awesome,5.0
Delightful,4.0
Waste of money!,1.0
Really Nice,4.0
Unsatisfactory,1.0
Worst experience ever!,1.0
Hated it!,1.0
Super!,5.0
Worth the money,4.0
Unsatisfactory,1.0
Worth every penny,5.0
Terrific purchase,5.0
Very poor,1.0
Unsatisfactory,1.0
Classy product,5.0
Wonderful,4.0
Worth every penny,5.0
Useless product,1.0
Useless product,1.0
Terrible product,1.0
Brilliant,5.0
Good quality product,4.0
Terrible product,1.0
Good,3.0
Not good,2.0
Waste of money!,1.0
Fabulous!,5.0
Really Nice,4.0
Utterly Disappointed,1.0
Super!,5.0
Not recommended at all,1.0
Nice product,4.0
Utterly Disappointed,1.0
Horrible,1.0
Absolute rubbish!,1.0
Slightly disappointed,2.0
Not good,2.0
Mind-blowing purchase,5.0
Slightly disappointed,2.0
Mind-blowing purchase,5.0
Nice product,4.0
Fabulous!,5.0
Did not meet expectations,1.0
Moderate,2.0
Wonderful,5.0
Just wow!,5.0
Don't waste your money,1.0
Unsatisfactory,1.0
Awesome,5.0
Decent product,3.0
Did not meet expectations,1.0
Brilliant,5.0
Fair,3.0
Horrible,1.0
Waste of money!,1.0
Very poor,1.0
Very poor,1.0
Value-for-money,4.0
Good quality product,4.0
Brilliant,5.0
Useless product,1.0
Did not meet expectations,1.0
Horrible,1.0
Nice product,4.0
Don't waste your money,1.0
Terrific purchase,5.0
Could be way better,2.0
Absolute rubbish!,1.0
Classy product,5.0
Good,3.0
Worth every penny,5.0
Slightly disappointed,2.0
Could be way better,2.0
Wonderful,5.0
Hated it!,1.0
Waste of money!,1.0
Worth every penny,5.0
Value-for-money,4.0
Not good,2.0
Delightful,4.0
Terrific,5.0
Utterly Disappointed,1.0
Mind-blowing purchase,5.0
Not recommended at all,1.0
Useless product,1.0
Nice,3.0
Delightful,4.0
Not good,2.0
Worthless,1.0
Useless product,1.0
Awesome,5.0
Worthless,1.0
Simply awesome,5.0
Must buy!,5.0
Value-for-money,4.0
Not good,2.0
Worthless,1.0
Waste of money!,1.0
Perfect product!,5.0
Highly recommended,5.0
Terrific purchase,5.0
Waste of money!,1.0
Delightful,4.0
Great product,5.0
Brilliant,5.0
Utterly Disappointed,1.0
Really Nice,4.0
Very Good,4.0
Waste of money!,1.0
Terrific purchase,5.0
Great product,5.0
Utterly Disappointed,1.0
Terrible product,1.0
Highly recommended,5.0
Terrible product,1.0
Hated it!,1.0
Unsatisfactory,1.0
Utterly Disappointed,1.0
Hated it!,1.0
Awesome,5.0
Good choice,4.0
Brilliant,5.0
Very poor,1.0
Terrible product,1.0
Absolute rubbish!,1.0
Nice,3.0
Not recommended at all,1.0
Best in the market!,5.0
Value-for-money,4.0
Could be way better,2.0
Good choice,4.0
Perfect product!,5.0
Brilliant,5.0
Not recommended at all,1.0
Utterly Disappointed,1.0
Excellent,5.0
Best in the market!,5.0
Fair,3.0
Could be way better,2.0
Waste of money!,1.0
Worst experience ever!,1.0
Perfect product!,5.0
Good,3.0
Did not meet expectations,1.0
Hated it!,1.0
Fabulous!,5.0
Did not meet expectations,1.0
Worth every penny,5.0
Worst experience ever!,1.0
Moderate,2.0
Mind-blowing purchase,5.0
Moderate,2.0
Just wow!,5.0
Terrific,5.0
Super!,5.0
Worth every penny,5.0
Could be way better,2.0
Awesome,5.0
Terrific,5.0
Don't waste your money,1.0
Wonderful,4.0
Nice,3.0
Super!,5.0
Highly recommended,5.0
Very Good,4.0
Useless product,1.0
Decent product,3.0
Good,3.0
Unsatisfactory,1.0
Bad quality,2.0
Useless product,1.0
Terrible product,1.0
Wonderful,5.0
Terrific purchase,5.0
Best in the market!,5.0
Good choice,4.0
Don't waste your money,1.0
Great product,5.0
Very poor,1.0
Not good,2.0
Just okay,3.0
Worth the money,4.0
Pretty good,4.0
Super!,5.0
Terrific,5.0
Don't waste your money,1.0
Perfect product!,5.0
Pretty good,4.0
Unsatisfactory,1.0
Waste of money!,1.0
Mind-blowing purchase,5.0
Terrific,5.0
Excellent,5.0
Highly recommended,5.0
Expected a better product,2.0
Good,4.0
Must buy!,5.0
Worthless,1.0
Terrific purchase,5.0
Did not meet expectations,1.0
Fair,3.0
Did not meet expectations,1.0
Useless product,1.0
Hated it!,1.0
Terrific purchase,5.0
Worst experience ever!,1.0
Waste of money!,1.0
Super!,5.0
Worthless,1.0
Terrible product,1.0
Perfect product!,5.0
Good quality product,4.0
Fabulous!,5.0
Fair,3.0
Very Good,4.0
Terrific,5.0
Hated it!,1.0
Fabulous!,5.0
Best in the market!,5.0
Super!,5.0
Classy product,5.0
Highly recommended,5.0
Highly recommended,5.0
Classy product,5.0
Wonderful,5.0
Expected a better product,2.0
Pretty good,4.0
Just wow!,5.0
Highly recommended,5.0
Absolute rubbish!,1.0
Great product,5.0
Hated it!,1.0
Classy product,5.0
Slightly disappointed,2.0
Classy product,5.0
Worth the money,4.0
Good,3.0
Bad quality,2.0
Nice product,4.0
Classy product,5.0
Really Nice,4.0
Wonderful,5.0
Brilliant,5.0
Just wow!,5.0
Good quality product,4.0
Nice,3.0
Did not meet expectations,1.0
Excellent,5.0
Highly recommended,5.0
Utterly Disappointed,1.0
Terrific,5.0
Wonderful,5.0
Worth every penny,5.0
Good,3.0
Waste of money!,1.0
Excellent,5.0
Utterly Disappointed,1.0
Useless product,1.0
Slightly disappointed,2.0
Nice,3.0
Nice,3.0
Utterly Disappointed,1.0
Nice,3.0
Highly recommended,5.0
Absolute rubbish!,1.0
Brilliant,5.0
Best in the market!,5.0
Unsatisfactory,1.0
Terrific purchase,5.0
Terrific purchase,5.0
Not recommended at all,1.0
Highly recommended,5.0
Classy product,5.0
Pretty good,4.0
Not good,2.0
Waste of money!,1.0
Wonderful,4.0
Terrific purchase,5.0
Fair,3.0
Delightful,4.0
Worst experience ever!,1.0
Fabulous!,5.0
Simply awesome,5.0
Delightful,4.0
Worthless,1.0
Great product,5.0
Perfect product!,5.0
Unsatisfactory,1.0
Worth every penny,5.0
Very poor,1.0
Could be way better,2.0
Super!,5.0
Did not meet expectations,1.0
Not recommended at all,1.0
Terrible product,1.0
Highly recommended,5.0
Moderate,2.0
Bad quality,2.0
Terrible product,1.0
Just wow!,5.0
Classy product,5.0
Hated it!,1.0
Delightful,4.0
Useless product,1.0
Utterly Disappointed,1.0
Simply awesome,5.0
Brilliant,5.0
Super!,5.0
Delightful,4.0
Must buy!,5.0
Terrible product,1.0
Highly recommended,5.0
Excellent,5.0
Very poor,1.0
Waste of money!,1.0
Terrific purchase,5.0
Just okay,3.0
Best in the market!,5.0
Not recommended at all,1.0
Mind-blowing purchase,5.0
Horrible,1.0
Perfect product!,5.0
Nice product,4.0
Wonderful,4.0
Worthless,1.0
Slightly disappointed,2.0
Wonderful,5.0
Not recommended at all,1.0
Terrible product,1.0
Nice,3.0
Excellent,5.0
Just wow!,5.0
Decent product,3.0
Unsatisfactory,1.0
Wonderful,5.0
Fabulous!,5.0
Terrific,5.0
Super!,5.0
Expected a better product,2.0
Simply awesome,5.0
Really Nice,4.0
Excellent,5.0
Hated it!,1.0
Waste of money!,1.0
Worth every penny,5.0
Mind-blowing purchase,5.0
Highly recommended,5.0
Good choice,4.0
Very poor,1.0
Nice product,4.0
Did not meet expectations,1.0
Hated it!,1.0
Absolute rubbish!,1.0
Highly recommended,5.0
Expected a better product,2.0
Bad quality,2.0
Very Good,4.0
Moderate,2.0
Simply awesome,5.0
Not recommended at all,1.0
Did not meet expectations,1.0
Terrific,5.0
Waste of money!,1.0
Horrible,1.0
Must buy!,5.0
Brilliant,5.0
Super!,5.0
Awesome,5.0
Worst experience ever!,1.0
Very poor,1.0
Very poor,1.0
Bad quality,2.0
Must buy!,5.0
Simply awesome,5.0
Super!,5.0
Horrible,1.0
Awesome,5.0
Highly recommended,5.0
Perfect product!,5.0
Useless product,1.0
Absolute rubbish!,1.0
Moderate,2.0
Absolute rubbish!,1.0
Unsatisfactory,1.0
Good,3.0
Hated it!,1.0
Mind-blowing purchase,5.0
Horrible,1.0
Good,3.0
Absolute rubbish!,1.0
Good choice,4.0
Horrible,1.0
Simply awesome,5.0
Very poor,1.0
Great product,5.0
Worthless,1.0
Wonderful,5.0
Terrible product,1.0
Absolute rubbish!,1.0
Great product,5.0
Mind-blowing purchase,5.0
Did not meet expectations,1.0
Really Nice,4.0
Nice product,4.0
Good,3.0
Just okay,3.0
Slightly disappointed,2.0
Awesome,5.0
Good quality product,4.0
Best in the market!,5.0
Horrible,1.0
Mind-blowing purchase,5.0
Worth every penny,5.0
Utterly Disappointed,1.0
Super!,5.0
Classy product,5.0
Mind-blowing purchase,5.0
Delightful,4.0
Wonderful,4.0
Must buy!,5.0
Bad quality,2.0
Very poor,1.0
Hated it!,1.0
Must buy!,5.0
Simply awesome,5.0
Fabulous!,5.0
Terrific,5.0
Simply awesome,5.0
Nice product,4.0
Good quality product,4.0
Wonderful,5.0
Worth every penny,5.0
Absolute rubbish!,1.0
Decent product,3.0
Classy product,5.0
Decent product,3.0
Hated it!,1.0
Good,3.0
Decent product,3.0
Decent product,3.0
Worst experience ever!,1.0
Expected a better product,2.0
Must buy!,5.0
Utterly Disappointed,1.0
Terrific purchase,5.0
Pretty good,4.0
Very Good,4.0
Decent product,3.0
Mind-blowing purchase,5.0
Pretty good,4.0
Fair,3.0
Highly recommended,5.0
Slightly disappointed,2.0
Fabulous!,5.0
Good choice,4.0
Mind-blowing purchase,5.0
Awesome,5.0
Fair,3.0
Not recommended at all,1.0
Did not meet expectations,1.0
Best in the market!,5.0
Pretty good,4.0
Good quality product,4.0
Utterly Disappointed,1.0
Unsatisfactory,1.0
Super!,5.0
Worthless,1.0
Value-for-money,5.0
Good choice,4.0
Simply awesome,5.0
Terrific,5.0
Delightful,4.0
Great product,5.0
Just wow!,5.0
Did not meet expectations,1.0
Fair,3.0
Worthless,1.0
Worthless,1.0
Good choice,4.0
Good quality product,4.0
Useless product,1.0
Terrible product,1.0
Delightful,4.0
Absolute rubbish!,1.0
Brilliant,5.0
Awesome,5.0
Awesome,5.0
Terrible product,1.0
Good choice,4.0
Value-for-money,4.0
Utterly Disappointed,1.0
Mind-blowing purchase,5.0
Just okay,3.0
Don't waste your money,1.0
Useless product,1.0
Moderate,2.0
Useless product,1.0
Wonderful,5.0
Fair,3.0
Worthless,1.0
Just wow!,5.0
Horrible,1.0
Don't waste your money,1.0
Terrible product,1.0
Horrible,1.0
Hated it!,1.0
Terrific purchase,5.0
Terrific,5.0
Super!,5.0
Unsatisfactory,1.0
Very Good,4.0
Must buy!,5.0
Not good,2.0
Nice,3.0
Pretty good,4.0
Good choice,4.0
Good choice,4.0
Good choice,4.0
Horrible,1.0
Nice,3.0
Wonderful,5.0
Did not meet expectations,1.0
Perfect product!,5.0
Not recommended at all,1.0
Wonderful,5.0
Awesome,5.0
Just okay,3.0
Hated it!,1.0
Simply awesome,5.0
Horrible,1.0
Fabulous!,5.0
Nice product,4.0
Hated it!,1.0
Terrific purchase,5.0
Just wow!,5.0
Hated it!,1.0
Utterly Disappointed,1.0
Super!,5.0
Great product,5.0
Horrible,1.0
Worth every penny,5.0
Wonderful,5.0
Excellent,5.0
Horrible,1.0
Unsatisfactory,1.0
Classy product,5.0
Simply awesome,5.0
Super!,5.0
Terrific purchase,5.0
Fabulous!,5.0
Just okay,3.0
Terrific purchase,5.0
Good,3.0
Value-for-money,4.0
Slightly disappointed,2.0
Mind-blowing purchase,5.0
Simply awesome,5.0
Pretty good,4.0
Hated it!,1.0
Absolute rubbish!,1.0
Terrible product,1.0
Excellent,5.0
Waste of money!,1.0
Very poor,1.0
Hated it!,1.0
Slightly disappointed,2.0
Not recommended at all,1.0
Must buy!,5.0
Brilliant,5.0
Bad quality,2.0
Super!,5.0
Absolute rubbish!,1.0
Terrific purchase,5.0
Expected a better product,2.0
Super!,5.0
Awesome,5.0
Hated it!,1.0
Excellent,5.0
Terrible product,1.0
Mind-blowing purchase,5.0
Wonderful,5.0
Good choice,4.0
Nice,3.0
Bad quality,2.0
Terrific,5.0
Don't waste your money,1.0
Super!,5.0
Fabulous!,5.0
Utterly Disappointed,1.0
Nice product,4.0
Perfect product!,5.0
Moderate,2.0
Absolute rubbish!,1.0
Good choice,4.0
Classy product,5.0
Worth every penny,5.0
Terrific,5.0
Bad quality,2.0
Moderate,2.0
Utterly Disappointed,1.0
Must buy!,5.0
Worth the money,4.0
Perfect product!,5.0
Terrific purchase,5.0
Moderate,2.0
Nice product,4.0
Not recommended at all,1.0
Just okay,3.0
Good,3.0
Hated it!,1.0
Worth every penny,5.0
Not recommended at all,1.0
Decent product,3.0
Just okay,3.0
Fair,3.0
Terrific,5.0
Good choice,4.0
Really Nice,4.0
Very poor,1.0
Good choice,4.0
Really Nice,4.0
Mind-blowing purchase,5.0
Utterly Disappointed,1.0
Absolute rubbish!,1.0
Utterly Disappointed,1.0
Perfect product!,5.0
Just okay,3.0
Utterly Disappointed,1.0
Useless product,1.0
Bad quality,2.0
Terrible product,1.0
Moderate,2.0
Utterly Disappointed,1.0
Excellent,5.0
Did not meet expectations,1.0
Wonderful,4.0
Perfect product!,5.0
Unsatisfactory,1.0
Worth the money,4.0
Good,3.0
Worth the money,4.0
Highly recommended,5.0
Just wow!,5.0
Does the job,3.0
Wonderful,5.0
Classy product,5.0
Good choice,4.0
Good,3.0
Terrific,5.0
Terrible product,1.0
Does the job,3.0
Classy product,5.0
Did not meet expectations,1.0
Worth the money,4.0
Unsatisfactory,1.0
Fair,3.0
Expected a better product,2.0
Horrible,1.0
Expected a better product,2.0
Good,3.0
Worth every penny,5.0
Decent product,3.0
Best in the market!,5.0
Really Nice,4.0
Wonderful,4.0
Perfect product!,5.0
Useless product,1.0
Absolute rubbish!,1.0
Just wow!,5.0
Brilliant,5.0
Not recommended at all,1.0
Slightly disappointed,2.0
Good choice,4.0
Did not meet expectations,1.0
Useless product,1.0
Unsatisfactory,1.0
Just wow!,5.0
Not good,2.0
Waste of money!,1.0
Must buy!,5.0
Great product,5.0
Awesome,5.0
Unsatisfactory,1.0
Did not meet expectations,1.0
Value-for-money,4.0
Highly recommended,5.0
Just wow!,5.0
Horrible,1.0
Terrible product,1.0
Terrible product,1.0
Moderate,2.0
Decent product,3.0
Simply awesome,5.0
Best in the market!,5.0
Slightly disappointed,2.0
Unsatisfactory,1.0
Slightly disappointed,2.0
Worth every penny,5.0
Classy product,5.0
Moderate,2.0
Worst experience ever!,1.0
Absolute rubbish!,1.0
Value-for-money,4.0
Terrible product,1.0
Fabulous!,5.0
Delightful,4.0
Hated it!,1.0
Mind-blowing purchase,5.0
Classy product,5.0
Classy product,5.0
Mind-blowing purchase,5.0
Absolute rubbish!,1.0
Terrific,5.0
Not recommended at all,1.0
Very poor,1.0
Fabulous!,5.0
Really Nice,4.0
Horrible,1.0
Good,3.0
Moderate,2.0
Decent product,3.0
Not good,2.0
Not recommended at all,1.0
Fabulous!,5.0
Wonderful,5.0
Simply awesome,5.0
Not recommended at all,1.0
Just okay,3.0
Highly recommended,5.0
Terrible product,1.0
Value-for-money,4.0
Good quality product,4.0
Useless product,1.0
Expected a better product,2.0
Very poor,1.0
Not recommended at all,1.0
Perfect product!,5.0
Terrific purchase,5.0
Not good,2.0
Fabulous!,5.0
Simply awesome,5.0
Terrible product,1.0
Utterly Disappointed,1.0
Very Good,4.0
Terrible product,1.0
Highly recommended,5.0
Delightful,4.0
Awesome,5.0
Awesome,5.0
Just wow!,5.0
Pretty good,4.0
Terrific,5.0
Nice,3.0
Just wow!,5.0
Very Good,4.0
Utterly Disappointed,1.0
Waste of money!,1.0
Very Good,4.0
Great product,5.0
Brilliant,5.0
Just okay,3.0
Utterly Disappointed,1.0
Best in the market!,5.0
Could be way better,2.0
Don't waste your money,1.0
Simply awesome,5.0
Slightly disappointed,2.0
Good,3.0
Mind-blowing purchase,5.0
Waste of money!,1.0
Horrible,1.0
Pretty good,4.0
Really Nice,4.0
Excellent,5.0
Terrible product,1.0
Super!,5.0
Best in the market!,5.0
Terrific purchase,5.0
Value-for-money,4.0
Wonderful,4.0
Useless product,1.0
Terrible product,1.0
Super!,5.0
Expected a better product,2.0
Moderate,2.0
Terrific,5.0
Hated it!,1.0
Classy product,5.0
Awesome,5.0
Excellent,5.0
Wonderful,5.0
Waste of money!,1.0
Don't waste your money,1.0
Simply awesome,5.0
Good quality product,4.0
Just wow!,5.0
Pretty good,4.0
Slightly disappointed,2.0
Mind-blowing purchase,5.0
Worth the money,4.0
Nice,3.0
Good,3.0
Highly recommended,5.0
Very Good,4.0
Absolute rubbish!,1.0
Fair,3.0
Not recommended at all,1.0
Perfect product!,5.0
Decent product,3.0
Slightly disappointed,2.0
Waste of money!,1.0
Wonderful,5.0
Fabulous!,5.0
Perfect product!,5.0
Great product,5.0
Simply awesome,5.0
Moderate,2.0
Not recommended at all,1.0
Mind-blowing purchase,5.0
Hated it!,1.0
Not recommended at all,1.0
Worthless,1.0
Did not meet expectations,1.0
Does the job,3.0
Does the job,3.0
Fair,3.0
Really Nice,4.0
Super!,5.0
Excellent,5.0
Could be way better,2.0
Must buy!,5.0
Excellent,5.0
Perfect product!,5.0
Wonderful,4.0
Highly recommended,5.0
Terrific,5.0
Highly recommended,5.0
Fair,3.0
Just okay,3.0
Unsatisfactory,1.0
Not good,2.0
Waste of money!,1.0
Unsatisfactory,1.0
Horrible,1.0
Not recommended at all,1.0
Slightly disappointed,2.0
Very poor,1.0
Super!,5.0
Mind-blowing purchase,5.0
Did not meet expectations,1.0
Delightful,4.0
Could be way better,2.0
Terrific purchase,5.0
Very poor,1.0
Excellent,5.0
Unsatisfactory,1.0
Horrible,1.0
Fair,3.0
Hated it!,1.0
Best in the market!,5.0
Wonderful,5.0
Fabulous!,5.0
Hated it!,1.0
Very Good,4.0
Perfect product!,5.0
Fair,3.0
Mind-blowing purchase,5.0
Absolute rubbish!,1.0
Terrible product,1.0
Must buy!,5.0
Utterly Disappointed,1.0
Brilliant,5.0
Waste of money!,1.0
Super!,5.0
Must buy!,5.0
Worthless,1.0
Best in the market!,5.0
Very Good,4.0
Moderate,2.0
Must buy!,5.0
Wonderful,4.0
Perfect product!,5.0
Bad quality,2.0
Wonderful,5.0
